TimeGenerated [UTC],DeviceName,ActionType,LocalIP,LocalPort,RemoteIP,RemotePort,InitiatingProcessFileName,failed_connections
"4/3/2025, 6:17:48.744 AM",felix-win10,ConnectionFailed,10.0.0.121,52861,REDACTED IP,443,svchost.exe,1
"4/3/2025, 6:24:24.397 AM",felix-win10,ConnectionFailed,10.0.0.121,53019,REDACTED IP,443,svchost.exe,1
"4/3/2025, 6:30:29.675 AM",felix-win10,ConnectionFailed,10.0.0.121,53220,REDACTED IP,443,svchost.exe,1
"4/3/2025, 6:34:47.042 AM",felix-win10,ConnectionFailed,10.0.0.121,53341,REDACTED IP,443,msedge.exe,1
"4/3/2025, 6:34:47.042 AM",felix-win10,ConnectionFailed,10.0.0.121,53342,REDACTED IP,443,msedge.exe,1
"4/3/2025, 6:34:47.043 AM",felix-win10,ConnectionFailed,10.0.0.121,53343,REDACTED IP,443,msedge.exe,1
"4/3/2025, 6:42:03.154 AM",felix-win10,ConnectionFailed,10.0.0.121,53608,REDACTED IP,443,svchost.exe,1
"4/3/2025, 6:42:39.764 AM",felix-win10,ConnectionFailed,10.0.0.121,53797,REDACTED IP,443,svchost.exe,1
"4/3/2025, 6:54:24.619 AM",felix-win10,ConnectionFailed,10.0.0.121,54089,REDACTED IP,443,svchost.exe,1
"4/3/2025, 7:00:29.837 AM",felix-win10,ConnectionFailed,10.0.0.121,54249,REDACTED IP,443,svchost.exe,1
